token,token_is_pronoun,token.normal,token.normal_is_pronoun
-END-,False,END,True
-Muuga,False,Muuga,True
-lä-he-tu-ses,True,lähetuses,False
-sulgi,False,sulgi,True
-tagi,False,tagi,True
Aastaküm-neid,True,Aastakümneid,False
Aju-ti-selt,True,Ajutiselt,False
Al-gu-ses,True,Alguses,False
Al-ma,True,Alma,False
Angele-ses,True,Angeleses,False
Avatar-me,True,Avatarme,False
Brüs-sel,True,Brüssel,False
E-mu,True,Emu,False
Eda-si-sel,True,Edasisel,False
Eel-mi-sel,True,Eelmisel,False
Ees-ti-su-gu-ses,True,Eestisuguses,False
Ehitusfir-ma,True,Ehitusfirma,False
Eil-sest,True,Eilsest,False
En-dal,False,Endal,True
End-i,False,Endi,True
End-is,False,Endis,True
Esi-me-ne,False,Esimene,True
Esi-me-se,False,Esimese,True
Esi-me-sed,False,Esimesed,True
Esi-me-si,False,Esimesi,True
Esi-mene,False,Esimene,True
Esi-mes-tel,False,Esimestel,True
Esi-mese,False,Esimese,True
Esi-mesed,False,Esimesed,True
Esi-mesel,False,Esimesel,True
Esime-ne,False,Esimene,True
Esime-sed,False,Esimesed,True
Esime-sena,False,Esimesena,True
Esimes-se,False,Esimesse,True
Et-te-val-mis-ta-mi-sel,True,Ettevalmistamisel,False
Ettevõt-teid,True,Ettevõtteid,False
Fir-ma,True,Firma,False
Füüsi-li-sest,True,Füüsilisest,False
Gaudea-must,True,Gaudeamust,False
Hai-ge-kas-sa,True,Haigekassa,False
Het-kel,True,Hetkel,False
Hin-nad,True,Hinnad,False
Hingetõm-me,True,Hingetõmme,False
Hir-mu,True,Hirmu,False
Hom-me,True,Homme,False
Hom-seks,True,Homseks,False
I-ga,False,Iga,True
I-s-e,False,Ise,True
I-se,False,Ise,True
Il-le-gaal-selt,True,Illegaalselt,False
Il-ma,True,Ilma,False
In-ter-nat-sio-naal-su-sel,True,Internatsionaalsusel,False
In-ves-tee-ri-mi-seks,True,Investeerimiseks,False
Ini-me-sel,True,Inimesel,False
Joonisfil-mis,True,Joonisfilmis,False
Järg-mi-seks,True,Järgmiseks,False
Järg-mi-sel,True,Järgmisel,False
Järgmi-seks,True,Järgmiseks,False
Järgmi-sel,True,Järgmisel,False
Jäät-meid,True,Jäätmeid,False
KEL-LELGI,False,KELLELGI,True
Ka-ris-tu-seks,True,Karistuseks,False
Ke-da,False,Keda,True
Kee-gi,False,Keegi,True
Kel-lelgi,False,Kellelgi,True
Kellaosu-teid,True,Kellaosuteid,False
Kesk-i,False,Keski,True
Kesk-mi-selt,True,Keskmiselt,False
Kli-endid,True,Kliendid,False
Ko-da-kond-sus-,True,Kodakondsus,False
Ko-ge-mus,True,Kogemus,False
Konk-reet-selt,True,Konkreetselt,False
Kre-ma-too-ri-u-mis,True,Krematooriumis,False
Kruu-sa,True,Kruusa,False
Kultuurikesku-ses,True,Kultuurikeskuses,False
Kumb-ki,False,Kumbki,True
Kõi-ge,False,Kõige,True
Kõi-geks,False,Kõigeks,True
Kõi-gel,False,Kõigel,True
Kõi-ges,False,Kõiges,True
Kõi-gest,False,Kõigest,True
Kõi-gi,False,Kõigi,True
Kõi-gile,False,Kõigile,True
Kõiki-de,False,Kõikide,True
Kõõ-ma,True,Kõõma,False
Küm-me,True,Kümme,False
Küpro-sel,True,Küprosel,False
Küpro-selt,True,Küproselt,False
Le-gaal-selt,True,Legaalselt,False
Li-ma,True,Lima,False
Linnavalitsu-ses,True,Linnavalitsuses,False
Lu-me-,True,Lume,False
Lut-su,True,Lutsu,False
Lutsuviskami-ses,True,Lutsuviskamises,False
Luurerüh-ma,True,Luurerühma,False
Lää-ne-me-re-tao-li-ses,True,Läänemeretaolises,False
Lõh-mus,True,Lõhmus,False
Lõh-nad,True,Lõhnad,False
M-I-D-A-G-I,False,MIDAGI,True
M-I-N-U,False,MINU,True
M-I-T-M-E-S-U-G-U-S-T,False,MITMESUGUST,True
M-e,False,Me,True
M-i-l-l-e,False,Mille,True
M-il,False,Mil,True
M-ilt,False,Milt,True
M-ina,False,Mina,True
M-is,False,Mis,True
MI-DA-GI,False,MIDAGI,True
Maail-ma,True,Maailma,False
Mahat-ma,True,Mahatma,False
Maksimaal-selt,True,Maksimaalselt,False
Mal-tal,True,Maltal,False
Mal-talt,True,Maltalt,False
Mal-tas,True,Maltas,False
Mal-tast,True,Maltast,False
Mam-ma,True,Mamma,False
Masi-nad,True,Masinad,False
Meie-ga,False,Meiega,True
Mi-da,False,Mida,True
Mi-da-gi,False,Midagi,True
Mi-dagi,False,Midagi,True
Mi-na,False,Mina,True
Mi-nu,False,Minu,True
Mi-nu-le,False,Minule,True
Mi-tu,False,Mitu,True
Mil-leks,False,Milleks,True
Mil-line,False,Milline,True
Mil-lised,False,Millised,True
Min-geid,False,Mingeid,True
Min-gi,False,Mingi,True
Ming-i,False,Mingi,True
Mit-med,False,Mitmed,True
Mit-mel,False,Mitmel,True
Mo-biil-su-seks,True,Mobiilsuseks,False
Mul-le,False,Mulle,True
Mulgi-,False,Mulgi,True
Muu-del,False,Muudel,True
Muuga-,False,Muuga,True
Mälestu-sest,True,Mälestusest,False
Mõ-lema,False,Mõlema,True
Mõ-lemad,False,Mõlemad,True
Mõ-lemal,False,Mõlemal,True
Mõ-lemas,False,Mõlemas,True
Mõ-lemast,False,Mõlemast,True
Mõ-lemat,False,Mõlemat,True
Mõ-ne,False,Mõne,True
Mõ-ned,False,Mõned,True
Mõ-nede,False,Mõnede,True
Mõ-nel,False,Mõnel,True
Mõ-nes,False,Mõnes,True
Mõ-ni,False,Mõni,True
Mõ-ningatel,False,Mõningatel,True
Mõi-sa,True,Mõisa,False
Mõle-mad,False,Mõlemad,True
Mõle-mas,False,Mõlemas,True
Mõn-da,False,Mõnda,True
NAF-TA,True,NAFTA,False
Ne-mad,False,Nemad,True
Nee-me,True,Neeme,False
Nei-le,False,Neile,True
Nen-de,False,Nende,True
Nen-de-le,False,Nendele,True
Nen-dega,False,Nendega,True
Nen-deks,False,Nendeks,True
Nen-des,False,Nendes,True
Nen-dest,False,Nendest,True
Nii-su-gus-te,False,Niisuguste,True
Niisu-gune,False,Niisugune,True
Niisu-guseid,False,Niisuguseid,True
Niisu-gusel,False,Niisugusel,True
Nooru-ses,True,Nooruses,False
NÕ-ME,True,NÕME,False
Näili-selt,True,Näiliselt,False
Nõm-me,True,Nõmme,False
O-le-me,True,Oleme,False
OM-I,False,OMI,True
Odavis-kes,True,Odaviskes,False
Odavlennufir-ma,True,Odavlennufirma,False
Om-i,False,Omi,True
Orgmet-sa,True,Orgmetsa,False
Osa-li-selt,True,Osaliselt,False
Ot-sus,True,Otsus,False
Pal-ju,False,Palju,True
Pal-ju-de,False,Paljude,True
Pal-ju-de-le,False,Paljudele,True
Pal-ju-del,False,Paljudel,True
Pal-jud,False,Paljud,True
Palju-de,False,Paljude,True
Pea-mi-selt,True,Peamiselt,False
Pea-mi-sest,True,Peamisest,False
Peat-selt,True,Peatselt,False
Pi-kaa-ja-li-se-ma,True,Pikaajalisema,False
Poolkait-ses,True,Poolkaitses,False
Prae-gu-seks,True,Praeguseks,False
Prob-lee-me,True,Probleeme,False
Prog-ram-mis,True,Programmis,False
Päi-ke-sel,True,Päikesel,False
Pää-sust,True,Pääsust,False
Põhili-selt,True,Põhiliselt,False
Rannamõi-sa,True,Rannamõisa,False
Ras-mus,True,Rasmus,False
Ro-he-li-sest,True,Rohelisest,False
Ru-ma-lu-sest,True,Rumalusest,False
Rää-gi-me,True,Räägime,False
Rääkisi-me,True,Rääkisime,False
Rõõ-mus,True,Rõõmus,False
Sa-ma-su-gu-ne,False,Samasugune,True
Sa-mad,False,Samad,True
Sa-mal,False,Samal,True
Sa-mas,False,Samas,True
Sak-sa,True,Saksa,False
Salaa-mis,True,Salaamis,False
Sar-na-selt,True,Sarnaselt,False
Se-da,False,Seda,True
Seesu-gune,False,Seesugune,True
Sei-sul,True,Seisul,False
Seksuaalpervers-sus,True,Seksuaalperverssus,False
Sel-le,False,Selle,True
Sel-le-ga,False,Sellega,True
Sel-le-le,False,Sellele,True
Sel-lega,False,Sellega,True
Sel-leks,False,Selleks,True
Sel-lel,False,Sellel,True
Sel-les,False,Selles,True
Sel-li-ne,False,Selline,True
Sel-li-se,False,Sellise,True
Sel-li-sed,False,Sellised,True
Sel-line,False,Selline,True
Sel-lis-tel,False,Sellistel,True
Sel-lised,False,Sellised,True
Sel-listes,False,Sellistes,True
Selle-ga,False,Sellega,True
Selli-se,False,Sellise,True
Selli-seid,False,Selliseid,True
Si-nu,False,Sinu,True
Si-su-li-selt,True,Sisuliselt,False
Sii-mul,True,Siimul,False
Sil-ma,True,Silma,False
Sin-a,False,Sina,True
Sir-kel,True,Sirkel,False
Sisuli-selt,True,Sisuliselt,False
Stockhol-mis,True,Stockholmis,False
Sur-ma,True,Surma,False
Sää-rane,False,Säärane,True
Sää-raseid,False,Sääraseid,True
Sää-rast,False,Säärast,True
Sõr-mus,True,Sõrmus,False
Sügi-sel,True,Sügisel,False
Süüdimõist-mi-sel,True,Süüdimõistmisel,False
T-A,False,TA,True
Ta-va-li-selt,True,Tavaliselt,False
Tag-i,False,Tagi,True
Taksondu-ses,True,Taksonduses,False
Tam-me,True,Tamme,False
Tarbekunstimuuseu-mis,True,Tarbekunstimuuseumis,False
Tavali-selt,True,Tavaliselt,False
Te-ge-lik-ku-ses,True,Tegelikkuses,False
Te-ma-gi,False,Temagi,True
Teadsi-me,True,Teadsime,False
Teenindu-ses,True,Teeninduses,False
Tei-ne,False,Teine,True
Tei-se,False,Teise,True
Teis-te,False,Teiste,True
Teis-tel,False,Teistel,True
Teis-tes,False,Teistes,True
Teis-test,False,Teistest,True
Tervi-seks,True,Terviseks,False
Texa-ses,True,Texases,False
Tin-gi-mus,True,Tingimus,False
Tol-la-ses,True,Tollases,False
Tor-mis,True,Tormis,False
Tra-dit-sio-naal-selt,True,Traditsionaalselt,False
Truudu-setu,True,Truudusetu,False
Tu-le-mu-seks,True,Tulemuseks,False
Tu-lu-mak-su,True,Tulumaksu,False
Tulistamishet-kel,True,Tulistamishetkel,False
Tä-na-me,True,Täname,False
Täp-selt,True,Täpselt,False
Tõen-äo-li-selt,True,Tõenäoliselt,False
Tõl-kes,True,Tõlkes,False
Ussisõ-nad,True,Ussisõnad,False
Uuskasutuskesku-ses,True,Uuskasutuskeskuses,False
Va-ja-du-sest,True,Vajadusest,False
Va-na-e-ma,True,Vanaema,False
Vajadu-sel,True,Vajadusel,False
Val-mis,True,Valmis,False
Valimisjaoskon-nad,True,Valimisjaoskonnad,False
Var-ma,True,Varma,False
Vas-ta-sel,True,Vastasel,False
Vas-tu-seks,True,Vastuseks,False
Vaskrää-ma,True,Vaskrääma,False
Vega-sesse,True,Vegasesse,False
Ven-nad,True,Vennad,False
Vil-niu-ses,True,Vilniuses,False
Virtuaal-seks,True,Virtuaalseks,False
aastaküm-me,True,aastakümme,False
aastaküm-neid,True,aastakümneid,False
ab-so-luut-selt,True,absoluutselt,False
ab-surd-sel,True,absurdsel,False
abi-kaa-sa,True,abikaasa,False
aeg-la-selt,True,aeglaselt,False
ain-sa,True,ainsa,False
aja-loo-li-selt,True,ajalooliselt,False
aja-mi-sel,True,ajamisel,False
aja-pom-me,True,ajapomme,False
ajalooli-seks,True,ajalooliseks,False
ajaraiskami-seks,True,ajaraiskamiseks,False
aju-ti-selt,True,ajutiselt,False
ak-tiiv-selt,True,aktiivselt,False
aka-dee-mi-li-ses,True,akadeemilises,False
al-ga-tas,True,algatas,False
al-gu-ses,True,alguses,False
al-gu-sest,True,algusest,False
al-ter-na-tiiv-seks,True,alternatiivseks,False
ala-li-selt,True,alaliselt,False
ala-ti-seks,True,alatiseks,False
alafinantseerimi-sest,True,alafinantseerimisest,False
alis-tas,True,alistas,False
am-mu,True,ammu,False
am-must,True,ammust,False
ame-tia-su-tu-ses,True,ametiasutuses,False
amet-li-kes,True,ametlikes,False
ametkon-nad,True,ametkonnad,False
analüüsimi-seks,True,analüüsimiseks,False
and-mi-seks,True,andmiseks,False
and-mi-sel,True,andmisel,False
andme-te,True,andmete,False
andmi-sest,True,andmisest,False
ar-ves-ta-ma,True,arvestama,False
araab-la-sest,True,araablasest,False
aren-da-mi-seks,True,arendamiseks,False
aren-da-mi-sel,True,arendamisel,False
aren-gu-suu-nad,True,arengusuunad,False
arendami-sel,True,arendamisel,False
armastu-sest,True,armastusest,False
aru-saa-mi-seks,True,arusaamiseks,False
aru-tu-sel,True,arutusel,False
arutami-sel,True,arutamisel,False
arvestu-ses,True,arvestuses,False
as-jaa-ja-mi-sest,True,asjaajamisest,False
as-tu-me,True,astume,False
as-tu-mi-sel,True,astumisel,False
as-tu-mi-sest,True,astumisest,False
asu-mi-sel,True,asumisel,False
at-rak-tiiv-sust,True,atraktiivsust,False
au-dii-tor-fir-ma,True,audiitorfirma,False
au-kon-sul,True,aukonsul,False
au-to-liik-lu-sest,True,autoliiklusest,False
au-to-maat-selt,True,automaatselt,False
audiitorfir-ma,True,audiitorfirma,False
aust-ri-kas-va-tu-sel,True,austrikasvatusel,False
autent-sest,True,autentsest,False
autoliiklu-ses,True,autoliikluses,False
ava-li-kus-tas,True,avalikustas,False
ava-ne-mi-sest,True,avanemisest,False
ava-ra-ma,True,avarama,False
aval-dami-seks,True,avaldamiseks,False
barbaar-sus,True,barbaarsus,False
bussifir-ma,True,bussifirma,False
de-tail-selt,True,detailselt,False
demonstratiiv-sel,True,demonstratiivsel,False
depressioonisümpto-meid,True,depressioonisümptomeid,False
dialoogikesk-sest,True,dialoogikesksest,False
dis-tant-si-li-selt,True,distantsiliselt,False
disainimi-seks,True,disainimiseks,False
dramaatili-seks,True,dramaatiliseks,False
duubelrivistu-ses,True,duubelrivistuses,False
duširuu-mis,True,duširuumis,False
dünaa-mi-li-se-ma,True,dünaamilisema,False
ebaküp-sust,True,ebaküpsust,False
ebamää-ra-selt,True,ebamääraselt,False
ebap-ro-port-sio-naal-selt,True,ebaproportsionaalselt,False
ebatavali-selt,True,ebatavaliselt,False
ede-vu-sest,True,edevusest,False
eden-da-mi-seks,True,edendamiseks,False
eden-da-mi-sel,True,edendamisel,False
edendami-sest,True,edendamisest,False
edes-tas,True,edestas,False
edusei-sus,True,eduseisus,False
ee-li-seks,True,eeliseks,False
ee-lis-ta-ma,True,eelistama,False
eel-du-seks,True,eelduseks,False
eel-du-sest,True,eeldusest,False
eel-mi-sel,True,eelmisel,False
eel-tin-gi-mu-seks,True,eeltingimuseks,False
eelmi-sel,True,eelmisel,False
eelmi-ses,True,eelmises,False
eelmi-sest,True,eelmisest,False
eest-la-sel,True,eestlasel,False
eest-la-selt,True,eestlaselt,False
eest-la-sest,True,eestlasest,False
eest-ve-da-mi-sel,True,eestvedamisel,False
eestiaeg-sest,True,eestiaegsest,False
efek-tiiv-se-ma,True,efektiivsema,False
efek-tiiv-sel,True,efektiivsel,False
efek-tiiv-selt,True,efektiivselt,False
efek-tiiv-sust,True,efektiivsust,False
efektiiv-sust,True,efektiivsust,False
ehi-tu-seks,True,ehituseks,False
ehi-tu-selt,True,ehituselt,False
ehi-tus-fir-ma,True,ehitusfirma,False
ehitami-seks,True,ehitamiseks,False
eil-seks,True,eilseks,False
eil-sel,True,eilsel,False
eil-sest,True,eilsest,False
eks-por-diar-tik-kel,True,ekspordiartikkel,False
el-lu-vii-mi-sel,True,elluviimisel,False
el-lujää-mi-seks,True,ellujäämiseks,False
ela-mi-seks,True,elamiseks,False
ela-ni-kel,True,elanikel,False
ela-tus-ta-se-me,True,elatustaseme,False
elami-sest,True,elamisest,False
elekt-rooni-li-seks,True,elektrooniliseks,False
eli-taar-su-sest,True,elitaarsusest,False
elu-ko-ge-must,True,elukogemust,False
elu-te-ge-vu-seks,True,elutegevuseks,False
elustiiliprogram-me,True,elustiiliprogramme,False
emot-sio-naal-selt,True,emotsionaalselt,False
en-da,False,enda,True
en-da-ga,False,endaga,True
en-da-le,False,endale,True
en-da-le-gi,False,endalegi,True
en-dal,False,endal,True
en-dale,False,endale,True
en-dalt,False,endalt,True
en-das,False,endas,True
en-dast,False,endast,True
en-di,False,endi,True
en-di-selt,True,endiselt,False
en-did,False,endid,True
en-dist,False,endist,True
en-nast,False,ennast,True
en-nastki,False,ennastki,True
en-nus-tu-sel,True,ennustusel,False
enami-kes,True,enamikes,False
enda-le,False,endale,True
ener-gia-mak-su,True,energiamaksu,False
era-kord-selt,True,erakordselt,False
erakon-nad,True,erakonnad,False
erastami-ses,True,erastamises,False
eri-li-seks,True,eriliseks,False
eri-li-selt,True,eriliselt,False
eri-omast,True,eriomast,False
eria-la-kir-jan-du-ses,True,erialakirjanduses,False
eristami-seks,True,eristamiseks,False
eriük-sus,True,eriüksus,False
esi-me-ne,False,esimene,True
esi-me-se,False,esimese,True
esi-me-se-na,False,esimesena,True
esi-me-sed,False,esimesed,True
esi-mene,False,esimene,True
esi-mes-teks,False,esimesteks,True
esi-mes-tel,False,esimestel,True
esi-mese,False,esimese,True
esi-mesed,False,esimesed,True
esi-meseks,False,esimeseks,True
esi-mesel,False,esimesel,True
esi-mesele,False,esimesele,True
esi-mesena,False,esimesena,True
esi-meses,False,esimeses,True
esi-mesest,False,esimesest,True
esi-messe,False,esimesse,True
esi-mest,False,esimest,True
esi-ne-ma,True,esinema,False
esi-ta-ma,True,esitama,False
esi-ta-mi-sel,True,esitamisel,False
esi-tas,True,esitas,False
esime-se,False,esimese,True
esime-sed,False,esimesed,True
esime-sena,False,esimesena,True
esimes-te,False,esimeste,True
esimes-teks,False,esimesteks,True
esimes-tel,False,esimestel,True
esimes-tes,False,esimestes,True
esimese-na,False,esimesena,True
esinemi-ses,True,esinemises,False
et-te-val-mis-ta-mi-sel,True,ettevalmistamisel,False
et-te-val-mis-tus-kur-su-sel,True,ettevalmistuskursusel,False
ettehei-teid,True,etteheiteid,False
ettevalmis-ta-mi-sel,True,ettevalmistamisel,False
ettevõt-teid,True,ettevõtteid,False
ettevõtmi-sest,True,ettevõtmisest,False
euro-opla-seks,True,eurooplaseks,False
euroopastumi-sest,True,euroopastumisest,False
fi-nant-see-ri-mi-seks,True,finantseerimiseks,False
fil-me,True,filme,False
fil-mi-maa-il-ma,True,filmimaailma,False
fil-mis,True,filmis,False
finantseerimi-seks,True,finantseerimiseks,False
fir-ma,True,firma,False
folkloorirüh-ma,True,folkloorirühma,False
föderatiivsu-sest,True,föderatiivsusest,False
füüsi-li-selt,True,füüsiliselt,False
füüsi-li-sest,True,füüsilisest,False
gaasipüs-tol,True,gaasipüstol,False
ge-nee-ti-li-selt,True,geneetiliselt,False
geeniu-seks,True,geeniuseks,False
geog-raa-fi-li-selt,True,geograafiliselt,False
glo-baal-sel,True,globaalsel,False
ha-ri-du-sest,True,haridusest,False
ha-ri-dussüstee-me,True,haridussüsteeme,False
ha-rul-da-selt,True,haruldaselt,False
hai-ge-kas-sa,True,haigekassa,False
haigekas-sa,True,haigekassa,False
hak-ka-ma,True,hakkama,False
hak-ka-me,True,hakkame,False
hal-ve-ma,True,halvema,False
hammustu-sest,True,hammustusest,False
han-ki-ma,True,hankima,False
hankimi-seks,True,hankimiseks,False
haridu-ses,True,hariduses,False
heategevu-seks,True,heategevuseks,False
heitlu-ses,True,heitluses,False
het-kel,True,hetkel,False
hi-lissügi-sel,True,hilissügisel,False
hiidlas-te,True,hiidlaste,False
hin-da-ma,True,hindama,False
hin-da-mi-seks,True,hindamiseks,False
hin-na-ta-se-me,True,hinnataseme,False
hin-nad,True,hinnad,False
hin-nan-gu-li-selt,True,hinnanguliselt,False
hindami-sest,True,hindamisest,False
hingami-sest,True,hingamisest,False
hingetõm-me,True,hingetõmme,False
hinnanguli-selt,True,hinnanguliselt,False
hir-mu,True,hirmu,False
hir-mu-tas,True,hirmutas,False
hir-muga,True,hirmuga,False
hir-mul,True,hirmul,False
hir-mus,True,hirmus,False
hir-must,True,hirmust,False
his-paan-la-sest,True,hispaanlasest,False
hoid-mi-seks,True,hoidmiseks,False
hoidmi-sest,True,hoidmisest,False
hom-me,True,homme,False
hom-ses,True,homses,False
homoseksuaalsu-sest,True,homoseksuaalsusest,False
hoolit-seda,True,hoolitseda,False
hulgali-selt,True,hulgaliselt,False
hä-vi-ta-mi-sel,True,hävitamisel,False
hä-vi-tas,True,hävitas,False
häm-mas-tas,True,hämmastas,False
hämami-seks,True,hämamiseks,False
hävitami-seks,True,hävitamiseks,False
hõbe-ta-se-me,True,hõbetaseme,False
hõl-ma,True,hõlma,False
hüppe-li-selt,True,hüppeliselt,False
i-ga,False,iga,True
i-sa,True,isa,False
iga-le,False,igale,True
iga-su-gu-ne,False,igasugune,True
iga-su-gu-seid,False,igasuguseid,True
iga-su-gust,False,igasugust,True
igapäe-va-seks,True,igapäevaseks,False
igasu-gune,False,igasugune,True
igasu-guse,False,igasuguse,True
igasu-gused,False,igasugused,True
igasu-guseid,False,igasuguseid,True
igasu-guste,False,igasuguste,True
igasu-gustest,False,igasugustest,True
igasugu-seid,False,igasuguseid,True
igaühe-ni,False,igaüheni,True
il-le-gaal-selt,True,illegaalselt,False
il-ma,True,ilma,False
il-me,True,ilme,False
il-mus,True,ilmus,False
im-pee-riu-mis,True,impeeriumis,False
in-fo-kes-ku-sest,True,infokeskusest,False
in-ter-ne-tipõhi-sest,True,internetipõhisest,False
in-va-liid-sus-,True,invaliidsus,False
in-ves-tee-rin-gu-va-ja-du-sest,True,investeeringuvajadusest,False
ing-lis-keel-ses,True,ingliskeelses,False
ini-me-selt,True,inimeselt,False
inim-mina,True,inimmina,False
inime-seks,True,inimeseks,False
inime-sest,True,inimesest,False
integreerumi-sest,True,integreerumisest,False
investeerisi-me,True,investeerisime,False
iroonili-selt,True,irooniliselt,False
isamaaliitla-sest,True,isamaaliitlasest,False
ise-enesegi,False,iseenesegi,True
ise-enesestki,False,iseenesestki,True
iseen-nast-ki,False,iseennastki,True
iseküsi-mus,True,iseküsimus,False
istusi-me,True,istusime,False
ja-hi-pi-da-mi-seks,True,jahipidamiseks,False
ja-hin-du-ses,True,jahinduses,False
ja-lu-ta-mi-seks,True,jalutamiseks,False
jaa-pan-la-sest,True,jaapanlasest,False
jak-sa,True,jaksa,False
jalg-ra-tast,True,jalgratast,False
joomarlu-sest,True,joomarlusest,False
juhendami-sel,True,juhendamisel,False
juhtimi-sel,True,juhtimisel,False
juur-depää-su,True,juurdepääsu,False
jäl-gi-ma,True,jälgima,False
jäne-seks,True,jäneseks,False
jänesekostüü-mis,True,jänesekostüümis,False
jär-gi-ma,True,järgima,False
järg-mi-sel,True,järgmisel,False
järgmi-seks,True,järgmiseks,False
järgmi-sel,True,järgmisel,False
järgmi-sest,True,järgmisest,False
jät-ka-mi-sel,True,jätkamisel,False
jäät-meid,True,jäätmeid,False
jäät-mek-äit-lu-ses,True,jäätmekäitluses,False
jõud-mi-seks,True,jõudmiseks,False
jõudmi-seks,True,jõudmiseks,False
jõuetuksjäämi-sest,True,jõuetuksjäämisest,False
jõulu-puh-ku-seks,True,jõulupuhkuseks,False
ka-du-ma,True,kaduma,False
ka-hek-sa,True,kaheksa,False
ka-jas-ta-mi-seks,True,kajastamiseks,False
ka-ma,True,kama,False
ka-nad,True,kanad,False
ka-su,True,kasu,False
ka-su-ta-ma,True,kasutama,False
ka-su-ta-mi-sel,True,kasutamisel,False
ka-su-ta-mi-sest,True,kasutamisest,False
ka-su-tu-sel,True,kasutusel,False
ka-su-tus-vald-kon-nad,True,kasutusvaldkonnad,False
ka-vat-ses,True,kavatses,False
kaa-lu-ma,True,kaaluma,False
kaa-sa,True,kaasa,False
kaa-sama,True,kaasama,False
kaa-sus,True,kaasus,False
kaas-fi-nant-see-ri-mi-seks,True,kaasfinantseerimiseks,False
kaas-fi-nant-see-ri-mi-sel,True,kaasfinantseerimisel,False
kaaslas-te,True,kaaslaste,False
kah-jus-ta-ma,True,kahjustama,False
kahek-sa,True,kaheksa,False
kahet-sust,True,kahetsust,False
kaht-lus-ta-ma,True,kahtlustama,False
kait-seks,True,kaitseks,False
kait-ses,True,kaitses,False
kaits-mi-seks,True,kaitsmiseks,False
kaits-mi-sel,True,kaitsmisel,False
kal-ku-neid,True,kalkuneid,False
kan-di-dee-ri-ma,True,kandideerima,False
kan-di-dee-ri-mi-seks,True,kandideerimiseks,False
kan-di-dee-ri-mi-sel,True,kandideerimisel,False
kandideerimi-sest,True,kandideerimisest,False
kangelasesei-susse,True,kangelaseseisusse,False
kaotussei-sus,True,kaotusseisus,False
kar-milt,True,karmilt,False
kar-tu-ses,True,kartuses,False
kartu-ses,True,kartuses,False
kas-va-mi-sest,True,kasvamisest,False
kasutami-seks,True,kasutamiseks,False
kasutami-ses,True,kasutamises,False
kasutami-sest,True,kasutamisest,False
kasvatuspõhimõt-teid,True,kasvatuspõhimõtteid,False
kat-su-mus,True,katsumus,False
katmi-seks,True,katmiseks,False
kau-ba-kes-ku-ses,True,kaubakeskuses,False
kau-ban-dus-ma-jan-dus-li-kes,True,kaubandusmajanduslikes,False
kaud-selt,True,kaudselt,False
kauplu-ses,True,kaupluses,False
kavat-ses,True,kavatses,False
ke-da,False,keda,True
ke-da-gi,False,kedagi,True
ke-nad,True,kenad,False
keda-gi,False,kedagi,True
kee-gi,False,keegi,True
kee-le-kur-sust,True,keelekursust,False
kee-le-li-selt,True,keeleliselt,False
kee-leos-ku-sest,True,keeleoskusest,False
kee-ru-li-seks,True,keeruliseks,False
keeri-ses,True,keerises,False
keevavereli-sust,True,keevaverelisust,False
keh-tes-ta-mi-sel,True,kehtestamisel,False
