token,temp/tokens_syntax_preprocessing_f9042f8.json,temp/tokens_syntax_preprocessing_ac3d125.json
"!""#€%&/()=?","    ""<€%&"" L0> Y nominal  ","    ""#€%&"" L0 Y nominal  "
!#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
!#$*(%&$(*%&$,"    ""<$*(%&$(*%&$"" L0> Y nominal  ","    ""#$*(%&$(*%&$"" L0 Y nominal  "
"""!#","    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
"""#","    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
"""#""-","    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
"""#€""#%€&&@£@£$£","    ""<€\""#%€&&@£@£$£"" L0> Y nominal  ","    ""#€\""#%€&&@£@£$£"" L0 Y nominal  "
"""#€#%€&","    ""<€#%€&"" L0> Y nominal  ","    ""#€#%€&"" L0 Y nominal  "
"""#€%&/\()","    ""<€%&"" L0> Y nominal  ","    ""#€%&"" L0 Y nominal  "
"""')€#""/&€","    ""€<\""/&€"" L0> Y nominal  ","    ""€#\""/&€"" L0 Y nominal  "
"""@##","    ""@<#"" L0> Y nominal  ","    ""@##"" L0 Y nominal  "
#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#!,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#!/,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
##,"    ""<#"" L0> Y nominal  ","    ""##"" L0 Y nominal  "
###,"    ""<##"" L0> Y nominal  ","    ""###"" L0 Y nominal  "
####,"    """" L0 Y nominal  ","    ""####"" L0 Y nominal  "
#####,"    ""<"" L0> Y nominal  ","    ""#####"" L0 Y nominal  "
######,"    ""<#"" L0> Y nominal  ","    ""######"" L0 Y nominal  "
#######,"    ""<##"" L0> Y nominal  ","    ""#######"" L0 Y nominal  "
###############,"    ""<##"" L0> Y nominal  ","    ""###############"" L0 Y nominal  "
###############################.,"    ""<##"" L0> Y nominal  ","    ""###############################"" L0 Y nominal  "
############<,"    """" L0 Y nominal  ","    ""############"" L0 Y nominal  "
####*,"    """" L0 Y nominal  ","    ""####"" L0 Y nominal  "
###-,"    ""<##"" L0> Y nominal  ","    ""###"" L0 Y nominal  "
##@,"    ""<#@"" L0> Y nominal  ","    ""##@"" L0 Y nominal  "
##££££,"    ""<#££££"" L0> Y nominal  ","    ""##££££"" L0 Y nominal  "
#$,"    ""<$"" L0> Y nominal  ","    ""#$"" L0 Y nominal  "
#$@#$,"    ""<$@#$"" L0> Y nominal  ","    ""#$@#$"" L0 Y nominal  "
#%,"    ""<%"" L0> Y nominal  ","    ""#%"" L0 Y nominal  "
#%#&,"    ""<%#&"" L0> Y nominal  ","    ""#%#&"" L0 Y nominal  "
"#%#€""","    ""<%#€"" L0> Y nominal  ","    ""#%#€"" L0 Y nominal  "
#%$#,"    ""<%$#"" L0> Y nominal  ","    ""#%$#"" L0 Y nominal  "
#%=,"    ""<%"" L0> Y nominal  ","    ""#%"" L0 Y nominal  "
#',"    ""<’"" L0> Y nominal  ","    ""#’"" L0 Y nominal  "
#'¤%,"    ""<’¤%"" L0> Y nominal  ","    ""#’¤%"" L0 Y nominal  "
#),"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#*$,"    ""<*$"" L0> Y nominal  ","    ""#*$"" L0 Y nominal  "
#**,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#***,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#*~@¤¤,"    ""<*@¤¤"" L0> Y nominal  ","    ""#*@¤¤"" L0 Y nominal  "
#+,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#-,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#-----[,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#.,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#:,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#=,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
#@,"    ""<@"" L0> Y nominal  ","    ""#@"" L0 Y nominal  "
#@$*&,"    ""<@$*&"" L0> Y nominal  ","    ""#@$*&"" L0 Y nominal  "
#@%,"    ""<@%"" L0> Y nominal  ","    ""#@%"" L0 Y nominal  "
#¤,"    ""<¤"" L0> Y nominal  ","    ""#¤"" L0 Y nominal  "
#¤¤##¤,"    ""<¤¤##¤"" L0> Y nominal  ","    ""#¤¤##¤"" L0 Y nominal  "
#€#&,"    ""<€#&"" L0> Y nominal  ","    ""#€#&"" L0 Y nominal  "
#€%,"    ""<€%"" L0> Y nominal  ","    ""#€%"" L0 Y nominal  "
#€*,"    ""<€"" L0> Y nominal  ","    ""#€"" L0 Y nominal  "
$#!%$#,"    ""$<!%$#"" L0> Y nominal  ","    ""$#!%$#"" L0 Y nominal  "
$#¤,"    ""$<¤"" L0> Y nominal  ","    ""$#¤"" L0 Y nominal  "
%#,"    ""%<"" L0> Y nominal  ","    ""%#"" L0 Y nominal  "
%#$%,"    ""%<$%"" L0> Y nominal  ","    ""%#$%"" L0 Y nominal  "
%#%#,"    ""%<%#"" L0> Y nominal  ","    ""%#%#"" L0 Y nominal  "
%#'?,"    ""%<’"" L0> Y nominal  ","    ""%#’"" L0 Y nominal  "
%#@$#%,"    ""%<@$#%"" L0> Y nominal  ","    ""%#@$#%"" L0 Y nominal  "
%#£,"    ""%<£"" L0> Y nominal  ","    ""%#£"" L0 Y nominal  "
%%¤#,"    ""%%¤<"" L0> Y nominal  ","    ""%%¤#"" L0 Y nominal  "
%%¤##,"    ""%%¤<#"" L0> Y nominal  ","    ""%%¤##"" L0 Y nominal  "
%&^%$#,"    ""%&^%$<"" L0> Y nominal  ","    ""%&^%$#"" L0 Y nominal  "
%*#,"    ""%*<"" L0> Y nominal  ","    ""%*#"" L0 Y nominal  "
%¤#,"    ""%¤<"" L0> Y nominal  ","    ""%¤#"" L0 Y nominal  "
%¤#¤#,"    ""%¤<¤#"" L0> Y nominal  ","    ""%¤#¤#"" L0 Y nominal  "
%€#€,"    ""%€<€"" L0> Y nominal  ","    ""%€#€"" L0 Y nominal  "
&#,"    ""&<"" L0> Y nominal  ","    ""&#"" L0 Y nominal  "
&.#.,"    ""&.<"" L0> Y nominal  ","    ""&.#"" L0 Y nominal  "
"&/€#"")()""%€""?","    ""&/€<\"")()\""%€"" L0> Y nominal  ","    ""&/€#\"")()\""%€"" L0 Y nominal  "
'#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
'*#|>-.,"    ""<|"" L0> Y nominal  ","    ""#|"" L0 Y nominal  "
)(*&^%$#@!~<>?,"    ""&^%$<@!"" L0> Y nominal  ","    ""&^%$#@!"" L0 Y nominal  "
*#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
*##,"    ""<#"" L0> Y nominal  ","    ""##"" L0 Y nominal  "
+#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
+/%#,"    ""%<"" L0> Y nominal  ","    ""%#"" L0 Y nominal  "
-#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
.#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
.-<|#*',"    ""|<*’"" L0> Y nominal  ","    ""|#*’"" L0 Y nominal  "
/#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
/#/#,"    ""</#"" L0> Y nominal  ","    ""#/#"" L0 Y nominal  "
"/(€#€""€","    ""€<€\""€"" L0> Y nominal  ","    ""€#€\""€"" L0 Y nominal  "
:#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
:#:,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
:#:/,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
:-#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
;&#,"    ""&<"" L0> Y nominal  ","    ""&#"" L0 Y nominal  "
<!--#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
<#,"    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
<<·#·$,"    ""·<·$"" L0> Y nominal  ","    ""·#·$"" L0 Y nominal  "
"=""#","    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
"=""#"">","    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
"=""#""><","    ""<"" L0> Y nominal  ","    ""#"" L0 Y nominal  "
>>·#·$,"    ""·<·$"" L0> Y nominal  ","    ""·#·$"" L0 Y nominal  "
"@""#€%#€/%&","    ""@\""<€%#€/%&"" L0> Y nominal  ","    ""@\""#€%#€/%&"" L0 Y nominal  "
@#,"    ""@<"" L0> Y nominal  ","    ""@#"" L0 Y nominal  "
@#!%$#@,"    ""@<!%$#@"" L0> Y nominal  ","    ""@#!%$#@"" L0 Y nominal  "
@#%,"    ""@<%"" L0> Y nominal  ","    ""@#%"" L0 Y nominal  "
@#()(,"    ""@<"" L0> Y nominal  ","    ""@#"" L0 Y nominal  "
^#$#$%@#$^,"    ""^<$#$%@#$^"" L0> Y nominal  ","    ""^#$#$%@#$^"" L0 Y nominal  "
^#$@$#,"    ""^<$@$#"" L0> Y nominal  ","    ""^#$@$#"" L0 Y nominal  "
^%$$#,"    ""^%$$<"" L0> Y nominal  ","    ""^%$$#"" L0 Y nominal  "
^^%$^#,"    ""^^%$^<"" L0> Y nominal  ","    ""^^%$^#"" L0 Y nominal  "
£$#¤,"    ""£$<¤"" L0> Y nominal  ","    ""£$#¤"" L0 Y nominal  "
¤#,"    ""¤<"" L0> Y nominal  ","    ""¤#"" L0 Y nominal  "
¤#%,"    ""¤<%"" L0> Y nominal  ","    ""¤#%"" L0 Y nominal  "
¤#%¤,"    ""¤<%¤"" L0> Y nominal  ","    ""¤#%¤"" L0 Y nominal  "
¤%#,"    ""¤%<"" L0> Y nominal  ","    ""¤%#"" L0 Y nominal  "
"·#""·$","    ""·<\""·$"" L0> Y nominal  ","    ""·#\""·$"" L0 Y nominal  "
·#·$,"    ""·<·$"" L0> Y nominal  ","    ""·#·$"" L0 Y nominal  "
·$#,"    ""·$<"" L0> Y nominal  ","    ""·$#"" L0 Y nominal  "
€#€%&)&/&,"    ""€<€%&)&/&"" L0> Y nominal  ","    ""€#€%&)&/&"" L0 Y nominal  "
